algo,cost,time_to_best,instance_name
cw,707.8088739811838,0.0005245420034043,A-n37-k5
ls,694.7758399575915,0.0026460830122232,A-n37-k5
tabu,694.7758399575914,0.0058133749989792,A-n37-k5
alns,672.4652201521651,0.9868838340044022,A-n37-k5
lns,672.4652201521651,0.069576333014993,A-n37-k5
best,672.4652201521651,0.9868838340044022,A-n37-k5
cw,712.0478209658985,0.000349667010596,A-n33-k5
ls,702.5899432719142,0.0044952499738428,A-n33-k5
tabu,697.1619657749328,0.007473875011783,A-n33-k5
alns,662.1100976492222,0.6948907499900088,A-n33-k5
lns,662.1100976492222,3.138461666996591,A-n33-k5
best,662.1100976492222,0.6948907499900088,A-n33-k5
cw,843.688169346627,0.0004343340115156,A-n32-k5
ls,828.7001475272227,0.0048607919889036,A-n32-k5
tabu,828.7001475272227,0.0062266250024549,A-n32-k5
alns,787.0818888551104,0.1599707500135991,A-n32-k5
lns,787.0818888551103,4.862764999998035,A-n32-k5
best,787.0818888551103,4.862764999998035,A-n32-k5
cw,828.4722357153081,0.0004765409976243,A-n36-k5
ls,819.5435714099171,0.0026626670151017,A-n36-k5
tabu,828.4722357153081,0.0041692500235512,A-n36-k5
alns,802.1318035237847,3.944027207995532,A-n36-k5
lns,809.7135493640575,1.3614828330173625,A-n36-k5
best,802.1318035237847,3.944027207995532,A-n36-k5
cw,976.0377357769956,0.0007209999894257,A-n44-k6
ls,952.6458771939627,0.0058106669748667,A-n44-k6
tabu,952.6458771939627,0.0094608330109622,A-n44-k6
alns,938.1812806893467,5.083713166997768,A-n44-k6
lns,943.0198586746676,0.244480207999004,A-n44-k6
best,938.1812806893467,5.083713166997768,A-n44-k6
cw,1486.9183394528584,0.0015463750169146,A-n64-k9
ls,1448.6854075450972,0.0496939170116093,A-n64-k9
tabu,1458.9980249816974,0.0407133330008946,A-n64-k9
alns,1421.0523209545588,60.14898620801978,A-n64-k9
lns,1421.0523209545588,98.44454387499718,A-n64-k9
best,1421.0523209545588,60.14898620801978,A-n64-k9
cw,901.9900540917964,0.0005513750074896,A-n39-k5
ls,870.9586802794581,0.0091080419952049,A-n39-k5
tabu,881.2292250812502,0.0069585840101353,A-n39-k5
alns,828.9891154240541,43.23364645798574,A-n39-k5
lns,828.9891154240541,1.530263874999946,A-n39-k5
best,828.9891154240541,43.23364645798574,A-n39-k5
cw,1201.1970162123496,0.0009895000257529,A-n54-k7
ls,1185.6091248586736,0.0066414169850759,A-n54-k7
tabu,1187.0043323169991,0.0181607090053148,A-n54-k7
alns,1171.6822232587135,3.835034417017596,A-n54-k7
lns,1171.6822232587135,14.011448334000306,A-n54-k7
best,1171.6822232587135,3.835034417017596,A-n54-k7
cw,1421.8826011092551,0.0012249999854248,A-n60-k9
ls,1407.0854553361671,0.0030194580031093,A-n60-k9
tabu,1407.0854553361671,0.0192254589928779,A-n60-k9
alns,1355.799248189919,9.22176829201635,A-n60-k9
lns,1355.799248189919,25.24158637499204,A-n60-k9
best,1355.799248189919,25.24158637499204,A-n60-k9
cw,768.1318037906819,0.0004916249890811,A-n38-k5
ls,755.9320457951138,0.0054511670023202,A-n38-k5
tabu,765.8654893700121,0.0058172919962089,A-n38-k5
alns,734.184651133327,0.9597233750100712,A-n38-k5
