name,n,K,capacity,timelimit,objective,mip_gap,runtime,vehicles,term,primal,stated_cost,diff,diff_pct
A-n32-k5.vrp,32,5,100,320.0,784.0,0.0,36.379632959,5,OPTIMAL,FEASIBLE_POINT,784.0,0.0,0.0
A-n33-k5.vrp,33,5,100,330.0,661.0,0.0,31.04725575,5,OPTIMAL,FEASIBLE_POINT,661.0,0.0,0.0
A-n33-k6.vrp,33,6,100,330.0,742.0,0.0,92.618881041,6,OPTIMAL,FEASIBLE_POINT,742.0,0.0,0.0
A-n34-k5.vrp,34,5,100,340.0,778.0,0.0,116.548490208,5,OPTIMAL,FEASIBLE_POINT,778.0,0.0,0.0
A-n36-k5.vrp,36,5,100,360.0,799.0,0.010012515644555695,360.025971625,5,TIME_LIMIT,FEASIBLE_POINT,799.0,0.0,0.0
A-n37-k5.vrp,37,5,100,370.0,669.0,0.0,30.928620084,5,OPTIMAL,FEASIBLE_POINT,669.0,0.0,0.0
A-n37-k6.vrp,37,6,100,370.0,949.0,0.030558482613277135,369.976834125,6,TIME_LIMIT,FEASIBLE_POINT,949.0,0.0,0.0
A-n38-k5.vrp,38,5,100,380.0,730.0,0.01643835616438356,380.020930834,5,TIME_LIMIT,FEASIBLE_POINT,730.0,0.0,0.0
A-n39-k5.vrp,39,5,100,390.0,822.0,0.0170316301703163,390.02646275,5,TIME_LIMIT,FEASIBLE_POINT,822.0,0.0,0.0
A-n39-k6.vrp,39,6,100,390.0,831.0,0.024067388688327317,390.02540225,6,TIME_LIMIT,FEASIBLE_POINT,831.0,0.0,0.0
A-n44-k6.vrp,44,6,100,440.0,937.0,0.017075773745997867,440.045892792,6,TIME_LIMIT,FEASIBLE_POINT,937.0,0.0,0.0
A-n45-k6.vrp,45,6,100,450.0,949.0,0.030558482613277135,450.034520125,6,TIME_LIMIT,FEASIBLE_POINT,944.0,5.0,0.5296610169491526
A-n45-k7.vrp,45,7,100,450.0,1146.0,0.03926701570680628,450.289122583,7,TIME_LIMIT,FEASIBLE_POINT,1146.0,0.0,0.0
A-n46-k7.vrp,46,7,100,460.0,914.0,0.015317286652078774,460.023538958,7,TIME_LIMIT,FEASIBLE_POINT,914.0,0.0,0.0
A-n48-k7.vrp,48,7,100,480.0,1111.0,0.06930693069306931,480.057529791,7,TIME_LIMIT,FEASIBLE_POINT,1073.0,38.0,3.5414725069897486
A-n53-k7.vrp,53,7,100,530.0,1010.0,0.019801980198019802,530.140629458,7,TIME_LIMIT,FEASIBLE_POINT,1010.0,0.0,0.0
A-n54-k7.vrp,54,7,100,540.0,1176.0,0.06717687074829932,540.27554275,7,TIME_LIMIT,FEASIBLE_POINT,1167.0,9.0,0.7712082262210797
A-n55-k9.vrp,55,9,100,550.0,1074.0,0.027001862197392923,549.695078916,9,TIME_LIMIT,FEASIBLE_POINT,1073.0,1.0,0.09319664492078285
A-n60-k9.vrp,60,9,100,600.0,1370.0,0.061313868613138686,600.105403625,9,TIME_LIMIT,FEASIBLE_POINT,1354.0,16.0,1.1816838995568686
A-n61-k9.vrp,61,9,100,610.0,1037.0,0.048216007714561235,610.14351825,9,TIME_LIMIT,FEASIBLE_POINT,1034.0,3.0,0.2901353965183752
A-n62-k8.vrp,62,8,100,620.0,1314.0,0.0669710806697108,620.127535125,8,TIME_LIMIT,FEASIBLE_POINT,1288.0,26.0,2.018633540372671
A-n63-k10.vrp,63,10,100,630.0,1330.0,0.059398496240601506,630.086624334,10,TIME_LIMIT,FEASIBLE_POINT,1314.0,16.0,1.21765601217656
A-n63-k9.vrp,63,9,100,630.0,1645.0,0.052279635258358666,630.236231083,9,TIME_LIMIT,FEASIBLE_POINT,1616.0,29.0,1.7945544554455446
A-n64-k9.vrp,64,9,100,640.0,1429.0,0.05808257522743177,640.112113584,9,TIME_LIMIT,FEASIBLE_POINT,1401.0,28.0,1.998572448251249
A-n65-k9.vrp,65,9,100,650.0,1177.0,0.034834324553950725,650.081055125,9,TIME_LIMIT,FEASIBLE_POINT,1174.0,3.0,0.2555366269165247
A-n69-k9.vrp,69,9,100,690.0,1174.0,0.05110732538330494,690.083540334,9,TIME_LIMIT,FEASIBLE_POINT,1159.0,15.0,1.2942191544434858
A-n80-k10.vrp,80,10,100,800.0,1810.0,0.06353591160220995,799.938094375,10,TIME_LIMIT,FEASIBLE_POINT,1763.0,47.0,2.665910380034033
